"","(none)","Astrocytes","Interneurons","Microglia","Oligodendrocyte Precursor","Oligodendrocytes","Pericytes","Pyramidal Neurons","Vascular and Leptomeningeal Cells","Vascular Endothelial","Vascular Smooth Muscle Cell"
"GSM462485",0.0608451535421819,0.00768961302868419,0.292686790854311,0,0,0,0.252168419500811,0.0876782391932364,0.0742784840108998,0.204043180093793,0.020610119776083
"GSM462486",0,0.0404599493058726,0.130721983509994,0.177645090883509,0.074322751665288,0.223566031165183,0,0.245947816789758,0,0.107336376680395,0
"GSM462487",0,0.135892799258685,0,0.0270420229014169,0,0.224263968672043,0,0,0.287600185506948,0,0.325201023660907
