TNC	Tnc
RBM18	Rbm18
F3	F3
HADH	Hadh
ACSBG1	Acsbg1
URM1	Urm1
C1orf216	5730409E04Rik
FKBP14	Fkbp14
RPL15	Rpl15
HFE	Hfe
SOCS4	Socs4
GFAP	Gfap
CTSC	Ctsc
HOXC10	Hoxc10
MGAT5	Mgat5
TMBIM1	Tmbim1
LIX1	Lix1
SMARCA1	Smarca1
CD48	Cd48
ZDBF2	Zdbf2
DPP10	Dpp10
CNTN1	Cntn1
AGT	Agt
PPT1	Ppt1
UNC13A	Unc13a
SCIN	Scin
TMOD1	Tmod1
CROT	Crot
YWHAB	Ywhab
TRAPPC3	Trappc3
CDH11	Cdh11
RALA	Rala
TXLNB	Txlnb
TMEM176B	Tmem176b
RSL1D1	Rsl1d1
TRIQK	Triqk
PLXDC2	Plxdc2
TPST1	Tpst1
RAB7A	Rab7
SLC40A1	Slc40a1
SLC25A28	Slc25a28
DTWD2	Dtwd2
STAM	Stam
NYAP2	Nyap2
MTFR1	Mtfr1
EDEM1	Edem1
C11orf52	2310030G06Rik
UBE2J1	Ube2j1
PANX1	Panx1
CYFIP1	Cyfip1
PCDH18	Pcdh18
SLC9A3R1	Slc9a3r1
TREM2	Trem2
GM2A	Gm2a
KBTBD7	Kbtbd7
SMC2	Smc2
GNA13	Gna13
PADI2	Padi2
FAM171B	Fam171b
SAMHD1	Samhd1
TM6SF1	Tm6sf1
KDSR	Kdsr
GLIPR1	Glipr1
SAT1	Sat1
SIK3	Sik3
TMEM245	Tmem245
FECH	Fech
ONECUT1	Onecut1
KRAS	Kras
KIF16B	Kif16b
RIOK2	Riok2
NIN	Nin
DNAJC3	Dnajc3
DTNA	Dtna
MTM1	Mtm1
TGFB2	Tgfb2
PRPF4	Prpf4
OSBPL2	Osbpl2
ARL1	Arl1
RUSC2	Rusc2
ARF4	Arf4
RPE65	Rpe65
SMAD9	Smad9
CLIC1	Clic1
TAAR1	Taar1
REEP3	Reep3
SSFA2	Ssfa2
LGMN	Lgmn
GNAI3	Gnai3
KRT12	Krt12
PFKFB3	Pfkfb3
ADPRH	Adprh
NDUFA1	Ndufa1
RASSF8	Rassf8
C12orf71	1700034J05Rik
SEPT11	Sept11
ANXA1	Anxa1
COLEC12	Colec12
PIAS4	Pias4
APPBP2	Appbp2
CD14	Cd14
CREM	Crem
ATL3	Atl3
TOX	Tox
PLS3	Pls3
FAM189A2	Fam189a2
EFNB2	Efnb2
ABCC9	Abcc9
CALU	Calu
TGFBI	Tgfbi
APOOL	Apool
FUCA1	Fuca1
TMBIM6	Tmbim6
RIPK2	Ripk2
ADAMTSL3	Adamtsl3
PSMC3IP	Psmc3ip
UBE2C	Ube2c
ST8SIA4	St8sia4
CKAP5	Ckap5
TWISTNB	Twistnb
MTNR1B	Mtnr1b
ZNF622	Zfp622
SLC29A4	Slc29a4
SEL1L	Sel1l
MSN	Msn
DUSP16	Dusp16
KCTD12	Kctd12
BHLHE40	Bhlhe40
FRRS1L	Frrs1l
GPD1L	Gpd1l
ACAA2	Acaa2
MRPL33	Mrpl33
KCNA4	Kcna4
JAZF1	Jazf1
SP1	Sp1
UBR7	Ubr7
NAGA	Naga
GDPD2	Gdpd2
DLST	Dlst
SNW1	Snw1
PMP2	Pmp2
TLR1	Tlr1
FGF2	Fgf2
ADIPOR1	Adipor1
OR9G4	Olfr1006
ELAVL3	Elavl3
SLC25A35	Slc25a35
PRMT3	Prmt3
TMEM147	Tmem147
HBEGF	Hbegf
CCDC85A	Ccdc85a
GOLT1B	Golt1b
PPP1R3C	Ppp1r3c
TCF19	Tcf19
RP2	Rp2
ACSS3	Acss3
LRRC55	Lrrc55
ABL1	Abl1
RNF212	Rnf212
LIN7C	Lin7c
TASP1	Tasp1
GTF2E1	Gtf2e1
IFI30	Ifi30
PRDM1	Prdm1
FAR2	Far2
CLTC	Cltc
TMEM106B	Tmem106b
RPL23	Rpl23
SRPX	Srpx
PIGK	Pigk
CHL1	Chl1
BMPR1B	Bmpr1b
ADD3	Add3
PHYHIPL	Phyhipl
XPNPEP1	Xpnpep1
DDX21	Ddx21
TRPS1	Trps1
RAB8A	Rab8a
ARHGAP18	Arhgap18
OR4C13	Olfr1257
HSD17B10	Hsd17b10
TOX4	Tox4
NARS	Nars
RPLP0	Rplp0
RBM22	Rbm22
HMG20A	Hmg20a
TIMM10	Timm10
CHCHD1	Chchd1
TSPAN3	Tspan3
SNX3	Snx3
FAM198B	Fam198b
PPM1D	Ppm1d
ITPR2	Itpr2
TMPRSS5	Tmprss5
PDHB	Pdhb
MCAT	Mcat
IDH3A	Idh3a
SCN7A	Scn7a
RHOA	Rhoa
COPB2	Copb2
CIB1	Cib1
MSI2	Msi2
IPO5	Ipo5
FAM20B	Fam20b
SLC33A1	Slc33a1
NDNF	Ndnf
HPS3	Hps3
WRAP53	Wrap53
WWTR1	Wwtr1
PDIA6	Pdia6
SUB1	Sub1
YTHDF1	Ythdf1
FEM1C	Fem1c
CORO1C	Coro1c
OSGIN2	Osgin2
CYR61	Cyr61
SLFN5	Slfn5
CANX	Canx
SERPINB1	Serpinb1a
PAG1	Pag1
IGF2R	Igf2r
IQGAP1	Iqgap1
PSMD14	Psmd14
FAT1	Fat1
PJA2	Pja2
TYROBP	Tyrobp
SIKE1	Sike1
VCL	Vcl
SLC25A32	Slc25a32
USP39	Usp39
MMP3	Mmp3
CUL5	Cul5
NCKAP1L	Nckap1l
PTGS1	Ptgs1
ARPC5	Arpc5
RECQL	Recql
SLC44A3	Slc44a3
CNOT1	Cnot1
SCGB3A2	Scgb3a2
RBKS	Rbks
CD69	Cd69
CCDC47	Ccdc47
ATXN7L3B	Atxn7l3b
GALNT1	Galnt1
VIM	Vim
ELF1	Elf1
CABS1	Cabs1
TGFBR1	Tgfbr1
HDHD2	Hdhd2
SLC17A5	Slc17a5
TLR4	Tlr4
CHD3	Chd3
FOPNL	Fopnl
SLC1A5	Slc1a5
SND1	Snd1
ROR2	Ror2
SKA2	Ska2
C1orf54	BC028528
PLCD3	Plcd3
GABARAPL1	Gabarapl1
CCT5	Cct5
BFSP2	Bfsp2
TST	Tst
ANXA7	Anxa7
LASP1	Lasp1
FNIP2	Fnip2
SLC16A7	Slc16a7
CDCA3	Cdca3
WDR41	Wdr41
ITIH2	Itih2
IL6	Il6
FBLN5	Fbln5
ITM2B	Itm2b
CCL2	Ccl12
TRIM9	Trim9
EGR1	Egr1
HECTD1	Hectd1
SLC35B4	Slc35b4
ACBD5	Acbd5
DR1	Dr1
CCND2	Ccnd2
MYLK	Mylk
VBP1	Vbp1
PFKFB2	Pfkfb2
CEACAM16	Ceacam16
FABP6	Fabp6
TFDP2	Tfdp2
NSMCE2	Nsmce2
CYP7A1	Cyp7a1
CWC15	Cwc15
APLN	Apln
PRR11	Prr11
CTCF	Ctcf
PRDX6	Prdx6
ATP1A1	Atp1a1
TAP1	Tap1
FEZF1	Fezf1
RB1	Rb1
LAMTOR3	Lamtor3
ADAM10	Adam10
OAT	Oat
DMGDH	Dmgdh
CD200	Cd200
VPS45	Vps45
MARS	Mars
FMN2	Fmn2
HYAL3	Hyal3
HAVCR2	Havcr2
MPP5	Mpp5
NAV3	Nav3
AMOT	Amot
OR8U1	Olfr1044
RAB18	Rab18
UBLCP1	Ublcp1
MAGEB18	Mageb18
ATP1B2	Atp1b2
SMUG1	Smug1
THBS1	Thbs1
RAD51	Rad51
MINPP1	Minpp1
LBP	Lbp
TSPAN6	Tspan6
TWSG1	Twsg1
DNAJA2	Dnaja2
SCPEP1	Scpep1
DPT	Dpt
MRAP2	Mrap2
MTMR2	Mtmr2
PGGT1B	Pggt1b
TMEM205	Tmem205
RAB23	Rab23
FZD4	Fzd4
ADD2	Add2
MED22	Med22
USP47	Usp47
MCCC2	Mccc2
BBS2	Bbs2
APPL1	Appl1
PHACTR2	Phactr2
KCNE4	Kcne4
CORO2A	Coro2a
CDKL5	Cdkl5
SLC39A6	Slc39a6
EIF3H	Eif3h
KLC2	Klc2
SESN3	Sesn3
TMEM65	Tmem65
KPNB1	Kpnb1
S1PR1	S1pr1
OPALIN	Opalin
APOD	Apod
TMX1	Tmx1
GSPT1	Gspt1
FBP1	Fbp1
NUMB	Numb
PYGL	Pygl
STRAP	Strap
ZNF597	Zfp597
WLS	Wls
MFNG	Mfng
ADORA3	Adora3
SERINC3	Serinc3
ARHGEF6	Arhgef6
CUTC	Cutc
LAPTM4A	Laptm4a
ARIH1	Arih1
CYP4F3	Cyp4f13
CPSF2	Cpsf2
TTC9C	Ttc9c
SEC61A2	Sec61a2
MARCH1	March1
LGR4	Lgr4
RNF170	Rnf170
TMEM239	Tmem239
EDNRA	Ednra
SLC18A3	Slc18a3
SRFBP1	Srfbp1
PPP1CC	Gm5601
TRAPPC4	Trappc4
EPHA5	Epha5
GDF9	Gdf9
GAS2L3	Gas2l3
COPS4	Cops4
UBE4A	Ube4a
SLIRP	Slirp
LRIG1	Lrig1
PEAK1	Peak1
TRAPPC9	Trappc9
STK4	Stk4
APLP2	Aplp2
PI4K2B	Pi4k2b
ASPH	Asph
TYMS	Tyms
NFIL3	Nfil3
DDB2	Ddb2
CH25H	Ch25h
C14orf28	Gm527
MARCH3	March3
SAFB	Safb
MLC1	Mlc1
UQCRC2	Uqcrc2
GYS2	Gys2
AAED1	Aaed1
SPP2	Spp2
GJC3	Gjc3
GNG12	Gng12
NADK	Nadk
DMD	Dmd
USP18	Usp18
