TNC	Tnc
LMAN2	Lman2
CHIT1	Chit1
PROK1	Prok1
OR5P2	Olfr502
DPH3	Dph3
TRIP11	Trip11
GPN1	Gpn1
ROCK2	Rock2
LMBRD2	Lmbrd2
C3AR1	C3ar1
EIF2S1	Eif2s1
OSBPL8	Osbpl8
VPS16	Vps16
HSPA13	Hspa13
MBTPS2	Mbtps2
CLDN10	Cldn10
KLHL9	Klhl9
ZNF618	Zfp618
B3GAT3	B3gat3
COL4A1	Col4a1
PDE6D	Pde6d
TLE4	Tle4
FUT8	Fut8
VWA5A	Vwa5a
CD180	Cd180
LAMP1	Lamp1
CNTNAP3	Cntnap3
CPNE3	Cpne3
ZNF668	Zfp668
PHKB	Phkb
WDR44	Wdr44
BRAP	Brap
UBE2R2	Ube2r2
ARHGEF5	Arhgef5
RPS24	Rps24
ANTXR1	Antxr1
EFNA3	Efna3
SMG8	Smg8
FN1	Fn1
KIAA0368	AI314180
ZRANB1	Zranb1
RNF141	Rnf141
PRNP	Prnp
FUT2	Fut2
NCOA4	Ncoa4
CMTM4	Cmtm4
UBE2G1	Ube2g1
OGFOD1	Ogfod1
ZC3H7A	Zc3h7a
RHOQ	Rhoq
IWS1	Iws1
RAP2C	Rap2c
RNF20	Rnf20
SLC39A9	Slc39a9
SEMA3D	Sema3d
ATXN10	Atxn10
FUNDC1	Fundc1
ARF6	Arf6
DOCK2	Dock2
EIF4A3	Eif4a3
EIF2B2	Eif2b2
TEX33	Tex33
BMPR2	Bmpr2
CDC40	Cdc40
SGTB	Sgtb
CDC123	Cdc123
KCTD20	Kctd20
METAP1	Metap1
TMEM170A	Tmem170
DLG4	Dlg4
HIP1R	Hip1r
CARHSP1	Carhsp1
THAP11	Thap11
GIT2	Git2
PAPD4	Papd4
GABARAPL2	Gabarapl2
GPR26	Gpr26
MYO5C	Myo5c
ERLEC1	Erlec1
TNNI3K	Tnni3k
TRO	Tro
UNC80	Unc80
SENP1	Senp1
SYT10	Syt10
NOTCH2	Notch2
CTRL	Ctrl
RANBP3L	Ranbp3l
PRKCZ	Prkcz
TARSL2	Tarsl2
PLAUR	Plaur
EREG	Ereg
PCBP1	Pcbp1
RBM27	Rbm27
STEAP4	Steap4
C14orf119	1700123O20Rik
NGFR	Ngfr
RBP7	Rbp7
TSG101	Tsg101
ANKRD16	Ankrd16
RRAGA	Rraga
RAVER2	Raver2
OR13D1	Olfr270
PSMD1	Psmd1
SFXN2	Sfxn2
SFT2D1	Sft2d1
PCDH17	Pcdh17
APCS	Apcs
OR11L1	Olfr323
CPE	Cpe
UHRF1BP1L	Uhrf1bp1l
GPM6B	Gpm6b
OSMR	Osmr
KCNV1	Kcnv1
SLC13A3	Slc13a3
CSRNP1	Csrnp1
FBXW11	Fbxw11
BTK	Btk
ZNF267	D3Ertd254e
ELMOD1	Elmod1
ZNF593	Zfp593
CDA	Cda
PWP1	Pwp1
ETS1	Ets1
KDELC2	Kdelc2
LGALSL	Lgalsl
VPS18	Vps18
TRAM2	Tram2
NKRF	Nkrf
XKR7	Xkr7
ACTR6	Actr6
PGBD1	Pgbd1
ATOH7	Atoh7
OR4D1	Olfr464
RSU1	Rsu1
PNPLA8	Pnpla8
WDR11	Wdr11
TRIL	Tril
CDKN1A	Cdkn1a
NCF4	Ncf4
NEK6	Nek6
CSNK2A2	Csnk2a2
FGD4	Fgd4
ADARB1	Adarb1
PGBD5	Pgbd5
PARP8	Parp8
PLTP	Pltp
ERLIN1	Erlin1
GOSR1	Gosr1
ZBED5	Zbed5
SERPING1	Serping1
PLEKHH2	Plekhh2
MAPK4	Mapk4
SMU1	Smu1
FGFR1OP2	Fgfr1op2
ASIC3	Asic3
PSMA2	Psma2
PTPRJ	Ptprj
NTM	Ntm
ABCC4	Abcc4
PPHLN1	Pphln1
PPIL3	Ppil3
PM20D2	Pm20d2
OR56A5	Olfr683
TSNAXIP1	Tsnaxip1
SLC5A11	Slc5a11
OR2L13	Olfr166
DPYD	Dpyd
EIF2AK2	Eif2ak2
PARVA	Parva
SLC6A17	Slc6a17
EIF3L	Eif3l
B4GALNT1	B4galnt1
ZBTB37	Zbtb37
HGSNAT	Hgsnat
DLC1	Dlc1
FSD1L	Fsd1l
MAGEL2	Magel2
PARP9	Parp9
VAC14	Vac14
ATP13A3	Atp13a3
PHF20	Phf20
MED13L	Med13l
ZNF524	Zfp524
ASCC3	Ascc3
TMEM151B	Tmem151b
BRF2	Brf2
NOL8	Nol8
TIMP2	Timp2
ARHGAP15	Arhgap15
XKR5	Xkr5
NCAM2	Ncam2
CRX	Crx
SHOC2	Shoc2
PPM1A	Ppm1a
STAG2	Stag2
HCFC2	Hcfc2
MRRF	Mrrf
IMPACT	Impact
CCL17	Ccl17
TSSK4	Tssk4
NDUFAF1	Ndufaf1
LSM14A	Lsm14a
RAB11FIP3	Rab11fip3
AKT1S1	Akt1s1
COL8A1	Col8a1
KRT5	Krt5
ABHD5	Abhd5
TAB2	Tab2
PYGB	Pygb
TNKS2	Tnks2
PTPN11	Ptpn11
DNASE1L1	Dnase1l1
RREB1	Rreb1
OSBP2	Osbp2
ARHGAP25	Arhgap25
STK3	Stk3
SERPINE2	Serpine2
IFIT2	Ifit2
BCAT1	Bcat1
RABEP1	Rabep1
GPR182	Gpr182
LONRF1	Lonrf1
EAF2	Eaf2
ARHGEF12	Arhgef12
CA7	Car7
ATP2B4	Atp2b4
CD209	Cd209e
SLC26A5	Slc26a5
P2RY14	P2ry14
PALM3	Palm3
RCOR1	Rcor1
GOLIM4	Golim4
TBCB	Tbcb
ATCAY	Atcay
KRCC1	Krcc1
SNN	Snn
UGCG	Ugcg
SHKBP1	Shkbp1
MRPL50	Mrpl50
METTL23	Mettl23
NDUFA4	Ndufa4
VDAC3	Vdac3
MFAP3L	Mfap3l
GRIA3	Gria3
PDLIM5	Pdlim5
NMT1	Nmt1
IFNAR1	Ifnar1
HLA-DOA	H2-Oa
ZNF217	Zfp217
SAR1A	Sar1a
STT3B	Stt3b
TTC16	Ttc16
CSE1L	Cse1l
LURAP1	Lurap1
DTX3L	Dtx3l
IFFO2	Iffo2
JAM3	Jam3
KCNH7	Kcnh7
PTP4A1	Ptp4a1
RGS9	Rgs9
CABLES1	Cables1
MTHFD1L	Mthfd1l
MAZ	Maz
GSN	Gsn
ARPC2	Arpc2
AFMID	Afmid
TIMM17B	Timm17b
ZBTB34	Zbtb34
GPC5	Gpc5
C11orf87	AI593442
MAGEH1	Mageh1
ATAD5	Atad5
DNAJB4	Dnajb4
PHKA2	Phka2
MED21	Med21
MED19	Med19
SLC22A5	Slc22a5
HARBI1	Harbi1
GLRX	Glrx
OCM	Ocm
PDPR	Pdpr
LTA4H	Lta4h
GPR137B	Gpr137b
RTF1	Rtf1
GKAP1	Gkap1
RNF148	Rnf148
GBP3	Gbp2b
ID3	Id3
MYO16	Myo16
LAYN	Layn
HSPA12A	Hspa12a
THOC2	Thoc2
GIMAP1	Gimap1
MMP28	Mmp28
SCCPDH	Sccpdh
DOCK11	Dock11
CCDC28A	Ccdc28a
FUCA2	Fuca2
HIPK3	Hipk3
CENPW	Cenpw
DNTTIP2	Dnttip2
MIS18BP1	Mis18bp1
RPL18	Rpl18
RPL26	Rpl26
NUCB2	Nucb2
FDX1	Fdx1
RPN1	Rpn1
CBLN2	Cbln2
POMP	Pomp
SEMA3E	Sema3e
PARP14	Parp14
SEC23B	Sec23b
EPB41L4B	Epb41l4b
FAR1	Far1
MAPRE1	Mapre1
MGAT4A	Mgat4a
APOPT1	Apopt1
SIPA1L2	Sipa1l2
SNX4	Snx4
WDR78	Wdr78
RABEPK	Rabepk
DSCAM	Dscam
GTSF1L	Gtsf1l
ZMYND19	Zmynd19
OR4D10	Olfr1424
CLIC4	Clic4
ZBTB41	Zbtb41
C1QB	C1qb
CD59	Cd59b
NDUFS3	Ndufs3
CRYZ	Cryz
DLG5	Dlg5
MAST1	Mast1
TTC36	Ttc36
YPEL1	Ypel1
POC1B	Poc1b
AADAT	Aadat
KIAA0391	1110008L16Rik
TBK1	Tbk1
CD3E	Cd3e
RGS7BP	Rgs7bp
FCHSD2	Fchsd2
PEX13	Pex13
LARP4B	Larp4b
VTI1B	Vti1b
BRMS1L	Brms1l
CADPS2	Cadps2
FBXL5	Fbxl5
ABHD2	Abhd2
CP	Cp
CD81	Cd81
CRLS1	Crls1
IPMK	Ipmk
CD226	Cd226
OTUD6B	Otud6b
SDR42E1	Sdr42e1
RGS10	Rgs10
ATP6V1D	Atp6v1d
CCT2	Cct2
DENND4A	Dennd4a
SGCB	Sgcb
CHST15	Chst15
PPIC	Ppic
ALAD	Alad
NNAT	Nnat
COBLL1	Cobll1
ADAM19	Adam19
MAP3K5	Map3k5
KLHDC9	Klhdc9
TEK	Tek
TMEM30A	Tmem30a
ANTXR2	Antxr2
PTPN9	Ptpn9
NTSR2	Ntsr2
FAM117B	Fam117b
AMY2A	Amy1
STX8	Stx8
ANO5	Ano5
RAD23B	Rad23b
PSME3	Psme3
SEZ6L	Sez6l
CTDNEP1	Ctdnep1
GNAQ	Gnaq
EBF2	Ebf2
FILIP1	Filip1
MAX	Max
CLCN3	Clcn3
KCNF1	Kcnf1
SLURP1	Slurp1
ROCK1	Rock1
DAO	Dao
BARD1	Bard1
UMODL1	Umodl1
PLA2G3	Pla2g3
TCEAL1	Tceal1
VWCE	Vwce
PCDH9	Pcdh9
CYP8B1	Cyp8b1
UPK3A	Upk3a
UBE2W	Ube2w
FOXJ1	Foxj1
PIK3CG	Pik3cg
LRRC61	Lrrc61
ACSM1	Acsm1
LIPC	Lipc
DNAJC1	Dnajc1
SPIRE1	Spire1
EIF2S3	Eif2s3x
RLIM	Rlim
MBIP	Mbip
C9orf116	1700007K13Rik
HPGDS	Hpgds
GDPD5	Gdpd5
OR10V1	Olfr1420
VPS4B	Vps4b
PRDX3	Prdx3
KRT77	Krt77
LPAR1	Lpar1
ACADM	Acadm
CHP1	Chp1
MRPL19	Mrpl19
TMEM50B	Tmem50b
IFI35	Ifi35
PIAS2	Pias2
WDR12	Wdr12
ADRA2A	Adra2a
ATP6AP2	Atp6ap2
ARL13B	Arl13b
NUP50	Nup50
EFEMP2	Efemp2
GABRR2	Gabrr2
NT5E	Nt5e
HMGCLL1	Hmgcll1
NAP1L2	Nap1l2
MDGA1	Mdga1
ZNF449	Zfp449
ATAD1	Atad1
LTN1	Ltn1
THRB	Thrb
SPG11	Spg11
USP25	Usp25
DHRS3	Dhrs3
CEBPB	Cebpb
MYO6	Myo6
MFAP5	Mfap5
CDC73	Cdc73
BTG2	Btg2
GFPT1	Gfpt1
RAB31	Rab31
GOLGA5	Golga5
G3BP1	G3bp1
VPS53	Vps53
NEURL1B	Neurl1b
FEZ2	Fez2
MYEF2	Myef2
HAT1	Hat1
RBBP9	Rbbp9
CCDC34	Ccdc34
CDS2	Cds2
USP32	Usp32
TTYH1	Ttyh1
PLEK2	Plek2
GCNT1	Gcnt1
MRPL35	Mrpl35
KPNA3	Kpna3
CCDC117	Ccdc117
ZNF665	Zfp160
TMEM87A	Tmem87a
ADCK1	Adck1
CITED2	Cited2
COL8A2	Col8a2
PRRT3	Prrt3
NAA40	Naa40
PDGFRL	Pdgfrl
TMEM168	Tmem168
SIGMAR1	Sigmar1
LITAF	Litaf
WWC1	Wwc1
NAE1	Nae1
PNMA1	Pnma1
FABP2	Fabp2
ZNF367	Zfp367
MRPL46	Mrpl46
PRKCD	Prkcd
RIPK1	Ripk1
KLHL15	Klhl15
STARD9	Stard9
LRRTM4	Lrrtm4
SYNPO	Synpo
ANKRD17	Ankrd17
EPS8	Eps8
FAM198A	Fam198a
CIAPIN1	Ciapin1
FAM107A	Fam107a
STRN	Strn
CAND1	Cand1
GPM6A	Gpm6a
ZNF436	Zfp46
NEUROD1	Neurod1
WDR72	Wdr72
ITGAV	Itgav
SFR1	Sfr1
REXO4	Rexo4
RTCA	Rtca
DUS4L	Dus4l
NLRP14	Nlrp14
CNOT6L	Cnot6l
MSRB2	Msrb2
TLR9	Tlr9
MCMBP	Mcmbp
ENKUR	Enkur
PDE8A	Pde8a
PARK7	Park7
SLC34A1	Slc34a1
UCN3	Ucn3
STK39	Stk39
OGDH	Ogdh
FARSB	Farsb
ALDH18A1	Aldh18a1
EPRS	Eprs
RARA	Rara
MUM1L1	Mum1l1
RNF185	Rnf185
TMEM69	Tmem69
GPR17	Gpr17
TAB3	Tab3
TMEM136	Tmem136
DRD1	Drd1
IL4	Il4
HTR1A	Htr1a
NKAP	Nkap
DBI	Dbi
KIAA0040	4930523C07Rik
LIMK2	Limk2
EDEM3	Edem3
XRCC5	Xrcc5
ZC3H6	Zc3h6
EPB41L5	Epb41l5
ECHDC1	Echdc1
ZHX1	Zhx1
CA8	Car8
ARHGAP10	Arhgap10
CCDC65	Ccdc65
ADCYAP1	Adcyap1
PROZ	Proz
GPR21	Gpr21
SLC2A10	Slc2a10
PNO1	Pno1
MFSD11	Mfsd11
TAS2R16	Tas2r118
TFPT	Tfpt
KCNK2	Kcnk2
ASNSD1	Asnsd1
COMMD9	Commd9
EEF1G	Eef1g
C20orf194	4930402H24Rik
MTDH	Mtdh
TMEM174	Tmem174
PILRA	Pilra
C2orf40	1500015O10Rik
VPS11	Vps11
CD2AP	Cd2ap
CDC7	Cdc7
WNT5A	Wnt5a
UGDH	Ugdh
NFKBIL1	Nfkbil1
PMPCB	Pmpcb
GOLGA4	Golga4
HPGD	Hpgd
PARP4	Parp4
ABCD3	Abcd3
ME1	Me1
A2M	A2m
SHE	She
ATAD2	Atad2
DPCD	Dpcd
CHN1	Chn1
NRBF2	Nrbf2
MITF	Mitf
CASC4	Casc4
FAM136A	Fam136a
TP53BP2	Trp53bp2
IMPDH1	Impdh1
FAM180A	Fam180a
COL12A1	Col12a1
CBL	Cbl
TARDBP	Tardbp
ANXA3	Anxa3
ABI3	Abi3
YEATS4	Yeats4
F2	F2
P2RY10	P2ry10
AMBP	Ambp
ESF1	Esf1
CFTR	Cftr
TMEM167A	Tmem167
WTAP	Wtap
KCNJ5	Kcnj5
SYT8	Syt8
ERVFRD-1	Synb
TMEM97	Tmem97
OR2C1	Olfr15
GTF2B	Gtf2b
FRAT1	Frat1
TRMT112	Trmt112
C1orf43	4933434E20Rik
TLE6	Tle6
PCDHGC3	Pcdhgc3
CXADR	Cxadr
TMEM199	Tmem199
NCAPD3	Ncapd3
PFDN5	Pfdn5
DHH	Dhh
PHACTR3	Phactr3
SUZ12	Suz12
ADSSL1	Adssl1
VKORC1L1	Vkorc1l1
TRANK1	Trank1
SUFU	Sufu
MRPL44	Mrpl44
HSP90AB1	Hsp90ab1
SECISBP2L	Secisbp2l
GYPC	Gypc
DPYSL3	Dpysl3
SIT1	Sit1
RLN3	Rln3
GPX6	Gpx6
IGFL3	Igfl3
BARX1	Barx1
GK	Gykl1
UBE3A	Ube3a
DCC	Dcc
TAGLN2	Tagln2
SLC19A2	Slc19a2
PRKD3	Prkd3
TRAF6	Traf6
CCL1	Ccl1
SLC18A1	Slc18a1
TMEM14C	Tmem14c
COG7	Cog7
PCGF5	Pcgf5
PGM5	Pgm5
CDK19	Cdk19
MEOX1	Meox1
NFE2L2	Nfe2l2
SLC2A9	Slc2a9
TDP2	Tdp2
CNKSR1	Cnksr1
LENG8	Leng8
TMEM9B	Tmem9b
ATP2A2	Atp2a2
UBQLN4	Ubqln4
MYO1E	Myo1e
TMEM219	Tmem219
DNASE2	Dnase2a
MALT1	Malt1
NID2	Nid2
SGCZ	Sgcz
RASSF9	Rassf9
POP7	Pop7
MMP24	Mmp24
CREB3	Creb3
GGPS1	Ggps1
DOCK8	Dock8
FAM129A	Fam129a
EFCAB5	Efcab5
BLNK	Blnk
WDFY1	Wdfy1
TMEM39A	Tmem39a
USP44	Usp44
RPS23	Rps23
PNPLA3	Pnpla3
SLC7A4	Slc7a4
EHHADH	Ehhadh
RAD21	Rad21
TTLL9	Ttll9
SGK2	Sgk2
SNAPIN	Snapin
DDX18	Ddx18
SPON1	Spon1
XPR1	Xpr1
DPYSL4	Dpysl4
C1QC	C1qc
GFM1	Gfm1
HSD17B3	Hsd17b3
SLK	Slk
STARD3NL	Stard3nl
CYBB	Cybb
DPY19L4	Dpy19l4
PLEKHS1	Plekhs1
KCTD16	Kctd16
FAM13B	Fam13b
OSTM1	Ostm1
PLK2	Plk2
WWP2	Wwp2
HIST1H3I	Hist1h3e
PRCP	Prcp
SDC2	Sdc2
SLITRK5	Slitrk5
CENPQ	Cenpq
TFPI2	Tfpi2
ARID3B	Arid3b
ATIC	Atic
DAZAP2	Dazap2
C1RL	C1rl
ZDHHC6	Zdhhc6
PYY	Pyy
SCMH1	Scmh1
PTP4A2	Ptp4a2
NAGK	Nagk
TMOD3	Tmod3
APAF1	Apaf1
ELAC2	Elac2
CRNKL1	Crnkl1
UGP2	Ugp2
SLC11A2	Slc11a2
TTC19	Ttc19
TMED5	Tmed5
SGCE	Sgce
UNC13B	Unc13b
TMEM126B	Tmem126b
NPHS2	Nphs2
TMEM220	Tmem220
C19orf25	2310011J03Rik
PAIP2	Paip2
PP2D1	Pp2d1
STARD7	Stard7
HIST1H2BA	Hist1h2ba
JKAMP	Jkamp
TBC1D5	Tbc1d5
SRP14	Srp14
TPSG1	Tpsg1
APBA1	Apba1
C11orf1	1110032A03Rik
GAL	Gal
SWAP70	Swap70
TDRD7	Tdrd7
RGS18	Rgs18
KCNJ6	Kcnj6
CNTNAP4	Cntnap4
TKTL1	Tktl1
ZHX2	Zhx2
FXYD7	Fxyd7
SRBD1	Srbd1
PPP2R5E	Ppp2r5e
GLO1	Glo1
SLC23A2	Slc23a2
HSDL1	Hsdl1
NHLRC1	Nhlrc1
GHR	Ghr
LIX1L	Lix1l
ADAMTSL1	Adamtsl1
CDC42SE1	Cdc42se1
CEPT1	Cept1
SLC25A13	Slc25a13
KRR1	Krr1
ADORA1	Adora1
STAT6	Stat6
PLSCR1	Plscr1
PTPRG	Ptprg
RPAIN	Rpain
RAI14	Rai14
LRRC58	Lrrc58
PDZD9	Pdzd9
SCYL2	Scyl2
VPS13D	Vps13d
RHBDD1	Rhbdd1
PAK2	Pak2
SLC9A9	Slc9a9
ZSWIM5	Zswim5
SIAE	Siae
FAM83B	Fam83b
ATG4A	Atg4a
SLC25A44	Slc25a44
REST	Rest
ADAP1	Adap1
CD300LB	Cd300lb
FAM107B	Fam107b
ETF1	Etf1
NPEPPS	Npepps
SNF8	Snf8
VLDLR	Vldlr
PCCB	Pccb
ITGB8	Itgb8
USE1	Use1
ITGA1	Itga1
GRXCR1	Grxcr1
FBXO21	Fbxo21
KCNC3	Kcnc3
SPP1	Spp1
B3GNT4	B3gnt4
SCRN1	Scrn1
NFASC	Nfasc
WDR89	Wdr89
SEH1L	Seh1l
PIP5KL1	Pip5kl1
CA12	Car12
NXF3	Nxf3
NAA15	Naa15
SEPT1	Sept1
PCYT1B	Pcyt1b
HMGB2	Hmgb2
SOX5	Sox5
RPL30	Rpl30
ZCCHC9	Zcchc9
PDE3B	Pde3b
ATP8A1	Atp8a1
SMC3	Smc3
TAOK3	Taok3
GBF1	Gbf1
CBY1	Cby1
GOLGA1	Golga1
TNPO1	Tnpo1
CCDC96	Ccdc96
SLC8A2	Slc8a2
NIPSNAP3A	Nipsnap3b
CGREF1	Cgref1
F8	F8
EIF5	Eif5
SLC9A5	Slc9a5
MRPL51	Mrpl51
NRXN1	Nrxn1
KRTAP1-5	Krtap1-4
DPYSL2	Dpysl2
OXA1L	Oxa1l
RXFP1	Rxfp1
RNF11	Rnf11
TUBA8	Tuba8
MAP3K8	Map3k8
SAV1	Sav1
SNX19	Snx19
EVI5	Evi5
UFM1	Ufm1
NPTXR	Nptxr
TBC1D21	Tbc1d21
HS3ST2	Hs3st2
ZZZ3	Zzz3
LIPG	Lipg
IFRD1	Ifrd1
BUB3	Bub3
CA5A	Car5a
TP53TG5	Trp53tg5
CYP7B1	Cyp7b1
DERA	Dera
SCLT1	Sclt1
NFXL1	Nfxl1
MTMR7	Mtmr7
MRPL32	Mrpl32
C1GALT1	C1galt1
SCAF11	Scaf11
DPY19L3	Dpy19l3
DFFA	Dffa
HPSE	Hpse
DNM2	Dnm2
NCAN	Ncan
DHX40	Dhx40
WDR1	Wdr1
ATP6V0D2	Atp6v0d2
PSPC1	Pspc1
CYP27A1	Cyp27a1
RHOC	Rhoc
TMEM178A	Tmem178
CCDC130	Ccdc130
PIGS	Pigs
C18orf54	4930503L19Rik
SERPINE1	Serpine1
PPP1R8	Ppp1r8
MAP3K2	Map3k2
GABRB1	Gabrb1
MAU2	Mau2
UBE2L3	Ube2l3
KCTD21	Kctd21
ABLIM1	Ablim1
MMEL1	Mmel1
UBE2O	Ube2o
KIF2A	Kif2a
OR5H6	Olfr187
NR4A1	Nr4a1
C1orf174	A430005L14Rik
ABCC5	Abcc5
ZC3H14	Zc3h14
TNIK	Tnik
EIF4ENIF1	Eif4enif1
GTF2H1	Gtf2h1
AKIP1	Akip1
BAG5	Bag5
YAP1	Yap1
RUFY1	Rufy1
RAB20	Rab20
SMAD1	Smad1
ECH1	Ech1
RPP25L	Rpp25l
ADAM17	Adam17
CCDC129	Ccdc129
FAM57B	Fam57b
GLT8D1	Glt8d1
THOC3	Thoc3
RNASEH2B	Rnaseh2b
KLHDC1	Klhdc1
NMBR	Nmbr
TCEAL7	Tceal7
KCNG1	Kcng1
TLE2	Tle2
AP3B1	Ap3b1
DYM	Dym
SH3GLB2	Sh3glb2
CEBPZ	Cebpz
ATP1A3	Atp1a3
DGAT2L6	Dgat2l6
FNBP1	Fnbp1
NKX2-3	Nkx2-3
FAM155A	Fam155a
PDIK1L	Pdik1l
KLHL2	Klhl2
HOXC9	Hoxc9
POLR3GL	Polr3gl
SMC5	Smc5
KDM6A	Kdm6a
FASTKD3	Fastkd3
CHAC2	Chac2
PLXNB1	Plxnb1
TPD52L3	Trpd52l3
DDX17	Ddx17
BNC2	Bnc2
CDK5RAP2	Cdk5rap2
TIPRL	Tiprl
ST6GALNAC3	St6galnac3
KLHL30	Klhl30
TBC1D9B	Tbc1d9b
CREBZF	Crebzf
ALPK1	Alpk1
NAA30	Naa30
SLC35A4	Slc35a4
SETD5	Setd5
ZNF567	Zfp300
AEBP2	Aebp2
PRPF40A	Prpf40a
TRHR	Trhr
CBR4	Cbr4
NRG4	Nrg4
AHCYL2	Ahcyl2
NRCAM	Nrcam
HAND2	Hand2
DRAP1	Drap1
DOCK4	Dock4
TMPRSS3	Tmprss3
HIPK1	Hipk1
EIF4EBP2	Eif4ebp2
CALR	Calr
CDHR4	Cdhr4
SGCG	Sgcg
ENPP4	Enpp4
TRIM3	Trim3
AARS	Aars
ATP11C	Atp11c
FAM91A1	Fam91a1
SOD1	Sod1
TSSK2	Tssk2
BCL7A	Bcl7a
KIF3B	Kif3b
ACADL	Acadl
SOGA1	Soga1
GLT1D1	Glt1d1
SPTLC1	Sptlc1
EED	Eed
TSPAN31	Tspan31
SCARA3	Scara3
CEND1	Cend1
PRKAG1	Prkag1
TMEM74	Tmem74
ZNF282	Zfp282
VMAC	Vmac
PYGO2	Pygo2
SH3BGRL	Sh3bgrl
LYST	Lyst
PCDHA9	Pcdha8
NAA20	Naa20
SELL	Sell
NABP1	Nabp1
CEP135	Cep135
GCA	Gca
LINGO4	Lingo4
GREM2	Grem2
TRMT10A	Trmt10a
SLC23A1	Slc23a1
TUBB3	Tubb3
LRCH2	Lrch2
GUF1	Guf1
CREG1	Creg1
GHSR	Ghsr
STAT1	Stat1
GMPS	Gmps
GLDN	Gldn
F2RL1	F2rl1
WBP11	Wbp11
DYRK4	Dyrk4
LHFPL2	Lhfpl2
UGT2B10	Ugt2b34
ACP1	Acp1
SEC22B	Sec22b
GCNT2	Gcnt2
PRDM5	Prdm5
RAB3IP	Rab3ip
CPD	Cpd
CD22	Cd22
KRT28	Krt28
SIN3B	Sin3b
SECISBP2	Secisbp2
NEK8	Nek8
MED18	Med18
SLC10A1	Slc10a1
LBR	Lbr
PPARG	Pparg
NDUFB5	Ndufb5
TNFAIP1	Tnfaip1
LGI1	Lgi1
MSX2	Msx2
CASP4	Casp4
NTRK2	Ntrk2
PEX11A	Pex11a
FAM53C	Fam53c
EPHX2	Ephx2
PGM3	Pgm3
KCNG4	Kcng4
TERF2IP	Terf2ip
SIRT6	Sirt6
RFC2	Rfc2
CASP8AP2	Casp8ap2
XAF1	Xaf1
RIC8B	Ric8b
GABRB3	Gabrb3
CSGALNACT2	Csgalnact2
VEZF1	Vezf1
SLC38A2	Slc38a2
UBXN10	Ubxn10
TACR2	Tacr2
ZCCHC18	Zcchc18
S1PR2	S1pr2
GPC6	Gpc6
SLC24A1	Slc24a1
GPR31	Gpr31b
PIP4K2A	Pip4k2a
ATG7	Atg7
TAAR5	Taar5
DGKG	Dgkg
OR8D4	Olfr985
CCDC93	Ccdc93
OPN4	Opn4
COPZ1	Copz1
LEMD3	Lemd3
DAPK1	Dapk1
CD151	Cd151
EGR2	Egr2
TSR1	Tsr1
SLC12A2	Slc12a2
SLC6A11	Slc6a11
EIF3D	Eif3d
HAX1	Hax1
ALDH6A1	Aldh6a1
LGALS3	Lgals3
EIF2AK3	Eif2ak3
ASB14	Asb14
EEF1A1	Eef1a1
PET117	Pet117
SERPINI1	Serpini1
LRRIQ1	Lrriq1
MTRR	Mtrr
USP3	Usp3
FHL1	Fhl1
SERINC2	Serinc2
HDHD3	Hdhd3
PKP2	Pkp2
ANAPC4	Anapc4
UBL4B	Ubl4b
NPTX2	Nptx2
ZMYND12	Zmynd12
ZWILCH	Zwilch
UBE3D	Ube2cbp
HDX	Hdx
ADPRHL2	Adprhl2
OR1D2	Olfr412
CCDC172	Ccdc172
TMC7	Tmc7
SAMD9L	Samd9l
HTR6	Htr6
ARRDC3	Arrdc3
CTRB2	Ctrb1
AHNAK	Ahnak
CDC23	Cdc23
CLTA	Clta
TMEM144	Tmem144
C2orf76	3110009E18Rik
NOL7	Nol7
MFSD2A	Mfsd2a
ZDHHC22	Zdhhc22
PNPT1	Pnpt1
GUCY2F	Gucy2f
LMO4	Lmo4
RAB39B	Rab39b
DPY30	Dpy30
GRAMD1B	Gramd1b
SF3B3	Sf3b3
JUNB	Junb
SH2D1A	Sh2d1a
BUD13	Bud13
MEIG1	Meig1
YLPM1	Ylpm1
SH3RF1	Sh3rf1
CPM	Cpm
IFT57	Ift57
CYB5R2	Cyb5r2
FAM49B	Fam49b
RAMP2	Ramp2
LIPF	Lipf
TRAPPC8	Trappc8
SRSF4	Srsf4
ENDOV	Endov
DSP	Dsp
DDX1	Ddx1
XRCC2	Xrcc2
GTPBP4	Gtpbp4
CNTD1	Cntd1
CNOT7	Cnot7
LRRC59	Lrrc59
TACR1	Tacr1
TGFBR2	Tgfbr2
SLC25A38	Slc25a38
KLHL8	Klhl8
PTPRE	Ptpre
CTHRC1	Cthrc1
MGAT4C	Mgat4c
ACSL5	Acsl5
CDH5	Cdh5
RABGGTB	Rabggtb
ASCC2	Ascc2
NDUFB10	Ndufb10
GBP7	Gbp7
CEP57	Cep57
ERBB4	Erbb4
COG6	Cog6
KEL	Kel
SYNJ1	Synj1
CRISPLD2	Crispld2
SERPINB9	Serpinb9
LRRCC1	Lrrcc1
UGGT1	Uggt1
STX17	Stx17
SACM1L	Sacm1l
ARPP19	Arpp19
ZNF394	Zkscan14
GRIA4	Gria4
PRR15L	Prr15l
ZBTB1	Zbtb1
GAS7	Gas7
EIF3G	Eif3g
C17orf78	Gm11437
RAP2B	Rap2b
NLN	Nln
SSTR1	Sstr1
DIDO1	Dido1
C2CD2L	C2cd2l
AKAP6	Akap6
ZNFX1	Znfx1
POLA2	Pola2
KRTAP3-1	Krtap3-1
TFAP2C	Tfap2c
